Date,High,Low,Open,Close,Volume,Adj Close,Name
2016-01-01,611.875,600.0,601.6099853515625,609.5850219726562,303940.0,601.3766479492188,BAJFINANCE.NS
2016-01-04,609.9000244140625,599.5449829101562,609.9000244140625,605.2449951171875,407200.0,597.094970703125,BAJFINANCE.NS
2016-01-05,609.885009765625,598.0,607.5,599.7849731445312,511200.0,591.7085571289062,BAJFINANCE.NS
2016-01-06,618.0,595.0999755859375,599.6900024414062,610.7249755859375,346010.0,602.501220703125,BAJFINANCE.NS
2016-01-07,618.989990234375,603.02001953125,609.97998046875,610.6300048828125,782290.0,602.4075317382812,BAJFINANCE.NS
2016-01-08,636.52001953125,609.260009765625,613.5999755859375,631.4500122070312,1035070.0,622.9472045898438,BAJFINANCE.NS
2016-01-11,638.9000244140625,622.0999755859375,631.1900024414062,630.6199951171875,532400.0,622.12841796875,BAJFINANCE.NS
2016-01-12,632.9000244140625,615.2000122070312,631.0,620.8800048828125,584520.0,612.51953125,BAJFINANCE.NS
2016-01-13,629.5399780273438,603.5050048828125,622.0,607.7849731445312,1035940.0,599.6007690429688,BAJFINANCE.NS
2016-01-14,612.1300048828125,598.9450073242188,605.0,607.5900268554688,557540.0,599.4085083007812,BAJFINANCE.NS
2016-01-15,614.5900268554688,588.1500244140625,603.0,597.530029296875,415270.0,589.4839477539062,BAJFINANCE.NS
2016-01-18,597.5,546.8250122070312,591.52001953125,550.3200073242188,1122130.0,542.90966796875,BAJFINANCE.NS
2016-01-19,571.0,534.905029296875,550.3200073242188,564.489990234375,637010.0,556.8888549804688,BAJFINANCE.NS
2016-01-20,570.0,545.7100219726562,562.0,563.9400024414062,980180.0,556.3462524414062,BAJFINANCE.NS
2016-01-21,582.5050048828125,561.0,569.0050048828125,574.2050170898438,709580.0,566.4730224609375,BAJFINANCE.NS
2016-01-22,584.9000244140625,575.344970703125,581.7000122070312,582.0650024414062,561330.0,574.2271728515625,BAJFINANCE.NS
2016-01-25,595.0,582.39501953125,582.489990234375,585.6300048828125,468140.0,577.7442016601562,BAJFINANCE.NS
2016-01-27,598.8900146484375,581.7999877929688,590.7000122070312,593.6950073242188,392950.0,585.70068359375,BAJFINANCE.NS
