DisplayDate,Open,High,Low,Close,Volume,OI
2021-05-31 15:29:00,15579.15,15580.2,15575.4,15576,0,0
2021-05-31 15:28:00,15584.15,15585.4,15577.2,15577.2,0,0
2021-05-31 15:27:00,15587.1,15587.65,15583.75,15583.9,0,0
2021-05-31 15:26:00,15586.65,15589.5,15585.05,15587.15,0,0
2021-05-31 15:25:00,15588.9,15590.55,15585.3,15586.25,0,0
2021-05-31 15:24:00,15586.25,15589.7,15585.05,15589.7,0,0
2021-05-31 15:23:00,15589.65,15590.65,15585.35,15586.05,0,0
2021-05-31 15:22:00,15591.45,15592.45,15588.6,15589.6,0,0
2021-05-31 15:21:00,15592.4,15604.4,15587.8,15590.7,0,0
2021-05-31 15:20:00,15596.15,15598,15592.15,15592.15,0,0
2021-05-31 15:19:00,15592.65,15596.65,15591.35,15596.2,0,0
2021-05-31 15:18:00,15590.6,15594.65,15588.2,15592.8,0,0
2021-05-31 15:17:00,15589.15,15591.15,15586.15,15590.95,0,0
2021-05-31 15:16:00,15590.3,15591.85,15587.55,15589.45,0,0
2021-05-31 15:15:00,15585.35,15589.3,15582.35,15589.3,0,0
2021-05-31 15:14:00,15576.7,15585.35,15576.45,15585.2,0,0
2021-05-31 15:13:00,15573.85,15577.15,15573.2,15575.45,0,0
2021-05-31 15:12:00,15574.3,15576.9,15572.35,15573.85,0,0
2021-05-31 15:11:00,15573.1,15575.5,15570.25,15574.6,0,0
2021-05-31 15:10:00,15571.3,15572.95,15568.05,15572.5,0,0
2021-05-31 15:09:00,15570.95,15572.6,15569,15571.7,0,0
2021-05-31 15:08:00,15574.65,15577,15570.75,15571.1,0,0
2021-05-31 15:07:00,15572.95,15576.2,15572.35,15574.9,0,0
2021-05-31 15:06:00,15568.1,15573.95,15568,15573.25,0,0
2021-05-31 15:05:00,15562.65,15568.8,15562,15568.1,0,0
2021-05-31 15:04:00,15563.25,15565.1,15558.75,15562.1,0,0
2021-05-31 15:03:00,15559.9,15564.25,15558.35,15563.75,0,0
2021-05-31 15:02:00,15565.2,15565.75,15558.8,15560.8,0,0
2021-05-31 15:01:00,15566.15,15566.7,15563.3,15565.65,0,0
2021-05-31 15:00:00,15553.1,15566,15550,15566,0,0
2021-05-31 14:59:00,15554.75,15555.35,15552.05,15552.05,0,0
2021-05-31 14:58:00,15551.9,15554.3,15550.8,15553.9,0,0
2021-05-31 14:57:00,15552.8,15554.7,15551.6,15552.1,0,0
2021-05-31 14:56:00,15555.95,15556.15,15552.1,15552.6,0,0
2021-05-31 14:55:00,15554.65,15558.05,15552.4,15555.1,0,0
2021-05-31 14:54:00,15554.35,15555.6,15551.7,15554.8,0,0
2021-05-31 14:53:00,15556.25,15556.25,15551.4,15553.85,0,0
2021-05-31 14:52:00,15552.8,15557.9,15549.15,15555.6,0,0
