DisplayDate,Open,High,Low,Close,Volume,OI
11/30/2021 15:29,16961.7,16979.25,16961.7,16975.15,0,0
11/30/2021 15:28,16954.85,16971.3,16952.4,16963.75,0,0
11/30/2021 15:27,16953.35,16959.4,16949.95,16952.8,0,0
11/30/2021 15:26,16939.05,16955.6,16938.25,16955.4,0,0
11/30/2021 15:25,16946.2,16946.2,16938.85,16939.95,0,0
11/30/2021 15:24,16948.65,16956.25,16944.9,16945.55,0,0
11/30/2021 15:23,16964.25,16964.4,16949.4,16949.4,0,0
11/30/2021 15:22,16947.5,16964.75,16946.25,16963.75,0,0
11/30/2021 15:21,16944.35,16946.65,16934.05,16945.35,0,0
11/30/2021 15:20,16958.3,16959.3,16944.5,16945,0,0
11/30/2021 15:19,16956.05,16960,16955.2,16958.55,0,0
11/30/2021 15:18,16953.45,16961.85,16952.8,16956.45,0,0
11/30/2021 15:17,16961.35,16964.25,16954,16954,0,0
11/30/2021 15:16,16963.8,16967.6,16960.15,16961.05,0,0
11/30/2021 15:15,16982.45,16984.1,16964.15,16964.95,0,0
11/30/2021 15:14,16999.6,17001.15,16982.85,16982.85,0,0
11/30/2021 15:13,17020.1,17020.9,17001.35,17002.9,0,0
11/30/2021 15:12,17010.3,17020.4,17008.75,17020.3,0,0
11/30/2021 15:11,16987.7,17010.5,16987.7,17010.3,0,0
11/30/2021 15:10,16981.25,16988.65,16972.4,16987.85,0,0
11/30/2021 15:09,16993.15,16993.75,16978.55,16982,0,0
11/30/2021 15:08,16984.8,16993.95,16984.35,16993.45,0,0
11/30/2021 15:07,16999.5,17000.9,16984.9,16985.3,0,0
11/30/2021 15:06,16991.75,17002.8,16989.7,16999.1,0,0
11/30/2021 15:05,17010.75,17011.55,16992.05,16992.3,0,0
11/30/2021 15:04,17022.9,17022.9,17005.1,17011.3,0,0
11/30/2021 15:03,17038.35,17038.35,17018.75,17024.3,0,0
11/30/2021 15:02,17044.8,17044.8,17023.15,17037.25,0,0
11/30/2021 15:01,17086.8,17086.8,17040.2,17042.85,0,0
11/30/2021 15:00,17082.45,17092.3,17081.4,17087.25,0,0
11/30/2021 14:59,17075.15,17084.75,17075.15,17084.3,0,0
11/30/2021 14:58,17066.25,17083.35,17066,17076.75,0,0
11/30/2021 14:57,17064.8,17073.6,17064.8,17067.1,0,0
11/30/2021 14:56,17064.85,17067.2,17061.05,17065.75,0,0
11/30/2021 14:55,17071.65,17075.9,17064.95,17065.7,0,0
11/30/2021 14:54,17083.65,17085.95,17069.4,17072.05,0,0
11/30/2021 14:53,17084.25,17085.7,17077.75,17084.7,0,0
11/30/2021 14:52,17090.45,17090.7,17084,17084,0,0
11/30/2021 14:51,17096.45,17097.05,17087.95,17090.45,0,0
11/30/2021 14:50,17103.5,17103.7,17096.1,17097.75,0,0
11/30/2021 14:49,17101.7,17107.65,17101.7,17103.8,0,0
11/30/2021 14:48,17103.4,17104.4,17093.2,17101.85,0,0
11/30/2021 14:47,17094,17105.1,17093.4,17103.8,0,0
11/30/2021 14:46,17093.85,17095.4,17085.3,17094.25,0,0
11/30/2021 14:45,17086.35,17096.45,17079.45,17093.4,0,0
11/30/2021 14:44,17089.5,17090.2,17080.7,17088.9,0,0
